ticker,cfo_pipeline,cfo_yf,cfo_match,cfo_delta
ACGL,6172000000.0,6172000000.0,✅,0.0
AFL,2555000000.0,2555000000.0,✅,0.0
AIG,,3314000000.0,N/A,
AIG,,3314000000.0,N/A,
AIZ,,1833900000.0,N/A,
AIZ,,1833900000.0,N/A,
AJG,1930000000.0,1930000000.0,✅,0.0
AJG,1930000000.0,1930000000.0,✅,0.0
ALL,10110000000.0,10110000000.0,✅,0.0
ALL,10110000000.0,10110000000.0,✅,0.0
AMP,8323000000.0,8323000000.0,✅,0.0
AON,,,ERROR,
AMP,8323000000.0,8323000000.0,✅,0.0
APO,7246000000.0,7246000000.0,✅,0.0
AON,3481000000.0,3481000000.0,✅,0.0
APO,7246000000.0,7246000000.0,✅,0.0
AXP,18428000000.0,18428000000.0,✅,0.0
AXP,18428000000.0,18428000000.0,✅,0.0
BAC,12613000000.0,12613000000.0,✅,0.0
BAC,12613000000.0,12613000000.0,✅,0.0
BEN,1066100000.0,1066100000.0,✅,0.0
BEN,1066100000.0,1066100000.0,✅,0.0
BK,6730000000.0,,N/A,
BK,6730000000.0,,N/A,
BLK,3927000000.0,3927000000.0,✅,0.0
BLK,3927000000.0,3927000000.0,✅,0.0
BRK-B,45969000000.0,45969000000.0,✅,0.0
BRO,1450000000.0,1450000000.0,✅,0.0
BRK-B,45969000000.0,45969000000.0,✅,0.0
BX,4663161000.0,4663161000.0,✅,0.0
BRO,1450000000.0,1450000000.0,✅,0.0
C,-67632000000.0,-67632000000.0,✅,0.0
CB,,,ERROR,
BX,4663161000.0,4663161000.0,✅,0.0
CBOE,,1752600000.0,N/A,
C,-67632000000.0,-67632000000.0,✅,0.0
CFG,2211000000.0,2211000000.0,✅,0.0
CB,12816000000.0,12816000000.0,✅,0.0
CINF,3112000000.0,3112000000.0,✅,0.0
CBOE,,1752600000.0,N/A,
CME,4277100000.0,4277100000.0,✅,0.0
CFG,2211000000.0,2211000000.0,✅,0.0
COF,-169000000.0,27718000000.0,❌,-100.61
CINF,3112000000.0,3112000000.0,✅,0.0
CME,4277100000.0,4277100000.0,✅,0.0
EG,3068000000.0,3068000000.0,✅,0.0
FDS,726260000.0,726260000.0,✅,0.0
FITB,4514000000.0,4514000000.0,✅,0.0
FITB,4514000000.0,4514000000.0,✅,0.0
GL,1396391000.0,1396391000.0,✅,0.0
GL,1396391000.0,1396391000.0,✅,0.0
GS,-45154000000.0,-45154000000.0,✅,0.0
HBAN,,,ERROR,
GS,-45154000000.0,-45154000000.0,✅,0.0
HIG,5922000000.0,5922000000.0,✅,0.0
ICE,4662000000.0,4662000000.0,✅,0.0
HBAN,2482000000.0,2482000000.0,✅,0.0
IVZ,1525300000.0,1525300000.0,✅,0.0
HIG,5922000000.0,5922000000.0,✅,0.0
ICE,4662000000.0,4662000000.0,✅,0.0
IVZ,1525300000.0,1525300000.0,✅,0.0
JPM,-147782000000.0,-147782000000.0,✅,0.0
KEY,,,ERROR,
L,3279000000.0,3279000000.0,✅,0.0
JPM,-147782000000.0,-147782000000.0,✅,0.0
LNC,-167000000.0,-167000000.0,✅,0.0
KEY,2208000000.0,2208000000.0,✅,0.0
MA,,17648000000.0,N/A,
MCO,2901000000.0,2901000000.0,✅,0.0
MET,17092000000.0,17092000000.0,✅,0.0
MCO,2901000000.0,2901000000.0,✅,0.0
MKTX,82568000.0,382139000.0,❌,-78.39
MET,17092000000.0,17092000000.0,✅,0.0
MKTX,82568000.0,382139000.0,❌,-78.39
MS,-17889000000.0,-17889000000.0,✅,0.0
MSCI,,,ERROR,
MTB,,3003000000.0,N/A,
MS,-17889000000.0,-17889000000.0,✅,0.0
NDAQ,2255000000.0,2255000000.0,✅,0.0
MSCI,1588446000.0,1588446000.0,✅,0.0
NTRS,-24800000.0,5533500000.0,❌,-100.45
PFG,,,ERROR,
MTB,,3003000000.0,N/A,
NDAQ,2255000000.0,2255000000.0,✅,0.0
PGR,17548000000.0,17548000000.0,✅,0.0
NTRS,-24800000.0,5533500000.0,❌,-100.45
PNC,4384000000.0,4384000000.0,✅,0.0
PFG,4536700000.0,4536700000.0,✅,0.0
PRU,6271000000.0,6271000000.0,✅,0.0
PYPL,6416000000.0,6416000000.0,✅,0.0
RF,,,ERROR,
RJF,2434000000.0,2434000000.0,✅,0.0
SCHW,,9311000000.0,N/A,
SPGI,,,ERROR,
