ticker,sector,metric,pipeline_val,yfinance_val,delta_pct,match,source,notes
ACGL,Financial Services,cfo,6172000000.0,6172000000.0,0.0,✅,xbrl,
AFL,Financial Services,cfo,2555000000.0,2555000000.0,0.0,✅,xbrl,
AIG,Financial Services,cfo,,3314000000.0,,N/A,none,missing
AIZ,Financial Services,cfo,,1833900000.0,,N/A,none,missing
AJG,Financial Services,cfo,1930000000.0,1930000000.0,0.0,✅,xbrl,
ALL,Financial Services,cfo,10110000000.0,10110000000.0,0.0,✅,xbrl,
AMP,Financial Services,cfo,8323000000.0,8323000000.0,0.0,✅,xbrl,
AON,Financial Services,cfo,3481000000.0,3481000000.0,0.0,✅,xbrl,
APO,Financial Services,cfo,7246000000.0,7246000000.0,0.0,✅,xbrl,
AXP,Financial Services,cfo,18428000000.0,18428000000.0,0.0,✅,xbrl,
BAC,Financial Services,cfo,12613000000.0,12613000000.0,0.0,✅,xbrl,
BEN,Financial Services,cfo,1066100000.0,1066100000.0,0.0,✅,xbrl,
BK,,cfo,6730000000.0,,,N/A,xbrl,missing
BLK,Financial Services,cfo,3927000000.0,3927000000.0,0.0,✅,xbrl,
BRK-B,Financial Services,cfo,45969000000.0,45969000000.0,0.0,✅,xbrl,
BRO,Financial Services,cfo,1450000000.0,1450000000.0,0.0,✅,xbrl,
BX,Financial Services,cfo,4663161000.0,4663161000.0,0.0,✅,xbrl,
C,Financial Services,cfo,-67632000000.0,-67632000000.0,0.0,✅,xbrl,
CB,Financial Services,cfo,12816000000.0,12816000000.0,0.0,✅,xbrl,
CBOE,Financial Services,cfo,,1752600000.0,,N/A,none,missing
CFG,Financial Services,cfo,2211000000.0,2211000000.0,0.0,✅,xbrl,
CINF,Financial Services,cfo,3112000000.0,3112000000.0,0.0,✅,xbrl,
CME,Financial Services,cfo,4277100000.0,4277100000.0,0.0,✅,xbrl,
COF,Financial Services,cfo,84000000.0,27718000000.0,-99.7,❌,xbrl,flag: large discrepancy -- manual review
EG,Financial Services,cfo,3068000000.0,3068000000.0,0.0,✅,xbrl,
FDS,Financial Services,cfo,726260000.0,726260000.0,0.0,✅,xbrl,
FITB,Financial Services,cfo,4514000000.0,4514000000.0,0.0,✅,xbrl,
GL,Financial Services,cfo,1396391000.0,1396391000.0,0.0,✅,xbrl,
GS,Financial Services,cfo,-45154000000.0,-45154000000.0,0.0,✅,xbrl,
HBAN,Financial Services,cfo,2482000000.0,2482000000.0,0.0,✅,xbrl,
HIG,Financial Services,cfo,5922000000.0,5922000000.0,0.0,✅,xbrl,
ICE,Financial Services,cfo,4662000000.0,4662000000.0,0.0,✅,xbrl,
IVZ,Financial Services,cfo,1525300000.0,1525300000.0,0.0,✅,xbrl,
JPM,Financial Services,cfo,-147782000000.0,-147782000000.0,0.0,✅,xbrl,
KEY,Financial Services,cfo,2208000000.0,2208000000.0,0.0,✅,xbrl,
L,Financial Services,cfo,3279000000.0,3279000000.0,0.0,✅,xbrl,
LNC,Financial Services,cfo,-167000000.0,-167000000.0,0.0,✅,xbrl,
MA,Financial Services,cfo,17648000000.0,17648000000.0,0.0,✅,xbrl,
MCO,Financial Services,cfo,2901000000.0,2901000000.0,0.0,✅,xbrl,
MET,Financial Services,cfo,17092000000.0,17092000000.0,0.0,✅,xbrl,
MKTX,Financial Services,cfo,382139000.0,382139000.0,0.0,✅,xbrl,
MS,Financial Services,cfo,-17889000000.0,-17889000000.0,0.0,✅,xbrl,
MSCI,Financial Services,cfo,1588446000.0,1588446000.0,0.0,✅,xbrl,
MTB,Financial Services,cfo,3003000000.0,3003000000.0,0.0,✅,xbrl,
NDAQ,Financial Services,cfo,2255000000.0,2255000000.0,0.0,✅,xbrl,
NTRS,Financial Services,cfo,5533500000.0,5533500000.0,0.0,✅,xbrl,
PFG,Financial Services,cfo,4536700000.0,4536700000.0,0.0,✅,xbrl,
PGR,Financial Services,cfo,17548000000.0,17548000000.0,0.0,✅,xbrl,
PNC,Financial Services,cfo,4384000000.0,4384000000.0,0.0,✅,xbrl,
PRU,Financial Services,cfo,6271000000.0,,,N/A,xbrl,missing
PYPL,,cfo,6416000000.0,6416000000.0,0.0,✅,xbrl,
RF,Financial Services,cfo,2181000000.0,2181000000.0,0.0,✅,xbrl,
RJF,Financial Services,cfo,2434000000.0,2434000000.0,0.0,✅,xbrl,
SCHW,Financial Services,cfo,9311000000.0,9311000000.0,0.0,✅,xbrl,
SPGI,Financial Services,cfo,5651000000.0,5651000000.0,0.0,✅,xbrl,
STT,Financial Services,cfo,11898000000.0,11898000000.0,0.0,✅,xbrl,
SYF,Financial Services,cfo,9851000000.0,9851000000.0,0.0,✅,xbrl,
TFC,Financial Services,cfo,,5739000000.0,,N/A,none,missing
TROW,Financial Services,cfo,1753400000.0,1753400000.0,0.0,✅,xbrl,
TRV,Financial Services,cfo,10606000000.0,10606000000.0,0.0,✅,xbrl,
USB,Financial Services,cfo,7970000000.0,7970000000.0,0.0,✅,xbrl,
V,Financial Services,cfo,23059000000.0,23059000000.0,0.0,✅,xbrl,
WFC,Financial Services,cfo,-19001000000.0,-19001000000.0,0.0,✅,xbrl,
WRB,Financial Services,cfo,3582616000.0,3582616000.0,0.0,✅,xbrl,
WTW,Financial Services,cfo,1775000000.0,1775000000.0,0.0,✅,xbrl,
