ticker,split_detected,classification,periods_corrected,periods_suppressed,implied_ratio,interest_contradiction,gm_drop_bps,gm_flag_at_500,gm_flag_at_300,peers_derived,peers_valid,peers_dropped,dropped_names,peer_basis,error
A,N,,,,,N,187,N,N,6,6,0,,peer_set,
AAL,N,,,,,N,,,,6,6,0,,peer_set,
AAPL,N,,,,,Y,-70,N,N,6,5,1,WTO,peer_set,
ABBV,N,,,,,N,-24,N,N,6,6,0,,peer_set,
ABNB,N,,,,,N,13,N,N,6,5,1,VIK,peer_set,
ABT,N,,,,,N,-101,N,N,6,6,0,,peer_set,
ACGL,N,,,,,N,,,,6,6,0,,peer_set,
ACN,N,,,,,N,70,N,N,6,6,0,,peer_set,
ADBE,N,,,,,N,-23,N,N,6,6,0,,peer_set,
ADI,N,,,,,N,-438,N,N,6,5,1,SKHY,peer_set,
ADM,N,,,,,N,49,N,N,6,5,1,FDP,peer_set,
ADP,N,,,,,N,-39,N,N,6,6,0,,peer_set,
ADSK,N,,,,,N,-41,N,N,6,6,0,,peer_set,
AEE,N,,,,,N,-18,N,N,6,6,0,,peer_set,
AEP,N,,,,,N,410,N,Y,6,6,0,,peer_set,
AES,N,,,,,N,77,N,N,3,3,0,,peer_set,
AFL,N,,,,,N,,,,6,6,0,,peer_set,
AIG,N,,,,,N,,,,6,6,0,,peer_set,
AIZ,N,,,,,N,,,,6,6,0,,peer_set,
AJG,N,,,,,N,,,,6,6,0,,peer_set,
AKAM,N,,,,,N,44,N,N,6,6,0,,peer_set,
ALB,N,,,,,N,-1184,N,N,6,6,0,,peer_set,
ALGN,N,,,,,N,281,N,N,6,6,0,,peer_set,
ALL,N,,,,,N,,,,6,6,0,,peer_set,
ALLE,N,,,,,N,-97,N,N,6,6,0,,peer_set,
AMAT,N,,,,,N,-122,N,N,6,6,0,,peer_set,
AMCR,N,,,,,N,-107,N,N,6,6,0,,peer_set,
AMD,N,,,,,N,-17,N,N,6,5,1,SKHY,peer_set,
AME,N,,,,,N,-36,N,N,6,6,0,,peer_set,
AMGN,N,,,,,N,-572,N,N,6,6,0,,peer_set,
AMP,Y,likely_split,,FY2021,9.5:1,N,,,,6,6,0,,peer_set,
AMT,N,,,,,N,82,N,N,6,6,0,,peer_set,
AMZN,N,,,,,N,-143,N,N,6,6,0,,peer_set,
ANET,Y,likely_split,,FY2021,4:1,N,8,N,N,6,6,0,,peer_set,
ANSS,N,,,,,N,-96,N,N,,,0,,none,
AON,N,,,,,N,,,,6,6,0,,peer_set,
AOS,N,,,,,N,-70,N,N,6,6,0,,peer_set,
APA,N,,,,,N,,,,6,6,0,,peer_set,
APD,N,,,,,N,108,N,N,6,6,0,,peer_set,
APH,N,,,,,N,-312,N,N,6,6,0,,peer_set,
APO,N,,,,,N,,,,6,6,0,,peer_set,
APTV,N,,,,,N,-28,N,N,6,6,0,,peer_set,
ARE,N,,,,,N,167,N,N,6,6,0,,peer_set,
ARM,N,,,,,N,-56,N,N,6,5,1,SKHY,peer_set,
ASML,N,,,,,Y,-155,N,N,6,6,0,,peer_set,
ATO,N,,,,,N,,,,6,6,0,,peer_set,
AVB,N,,,,,N,,,,6,6,0,,peer_set,
AVGO,Y,likely_split,,FY2021,9.9:1,N,-473,N,N,6,5,1,SKHY,peer_set,
AVY,N,,,,,N,15,N,N,6,6,0,,peer_set,
AWK,N,,,,,N,,,,6,6,0,,peer_set,
AXON,N,,,,,N,-5,N,N,6,6,0,,peer_set,
AXP,N,,,,,N,,,,6,6,0,,peer_set,
AZN,N,,,,,N,-77,N,N,6,6,0,,peer_set,
AZO,N,,,,,N,47,N,N,6,6,0,,peer_set,
BA,N,,,,,N,,,,6,6,0,,peer_set,
BAC,N,,,,,N,,,,6,6,0,,peer_set,
