ticker,sector,status,n_checks,n_mismatches,mismatch_detail
AAPL,Technology,ok,4,0,
,2,0,
AKAM,Industrials,ok,3,0,
ALB,Consumer Staples,ok,2,0,
ALGN,Healthcare,ok,4,0,
ALL,Financials,ok,3,0,
ALLE,Industrials,ok,4,0,
AMAT,Technology,ok,4,0,
AMCR,General,ok,4,0,
AMD,Technology,ok,4,0,
AME,Industrials,ok,3,0,
AMGN,Healthcare,ok,4,0,
AMP,Financial Services,ok,2,0,
AMT,Real Estate,ok,3,0,
AMZN,Consumer Discretionary,ok,4,0,
ANET,Technology,ok,4,0,
ANSS,General,ok,2,0,
AON,Financial Services,ok,2,0,
AOS,General,ok,4,0,
APA,Energy,ok,2,0,
APD,Materials,ok,2,0,
APH,Technology,ok,4,0,
APO,Financials,ok,2,0,
APTV,Consumer Discretionary,ok,3,0,
ARE,Real Estate,ok,1,0,
ARM,Technology,ok,4,0,
ASML,Technology,ok,4,0,
ATO,Utilities,ok,4,0,
AVB,Real Estate,ok,1,0,
AVGO,Technology,ok,2,0,
AVY,Materials,ok,4,0,
AWK,Utilities,ok,4,0,
AXON,Industrials,ok,4,0,
AXP,Technology,ok,3,0,
AZN,Healthcare,ok,4,0,
AZO,Consumer Discretionary,ok,4,0,
BA,Industrials,ok,4,0,
BAC,Financials,ok,3,0,
