ticker,cik,entity_name,us_gaap_concepts,annual_periods,status,notes
A,0001090872,"AGILENT TECHNOLOGIES, INC.",771,20,OK,
AAL,0000006201,American Airlines Group Inc.,660,51,OK,
AAPL,0000320193,Apple Inc.,504,55,OK,
ABBV,0001551152,AbbVie Inc.,455,39,OK,
ABNB,0001559720,"Airbnb, Inc.",361,7,OK,
ABT,0000001800,ABBOTT LABORATORIES,477,55,OK,
ACGL,0000947484,ARCH CAPITAL GROUP LTD.,563,36,OK,
ACN,0001467373,Accenture plc,452,70,OK,
ADBE,0000796343,ADOBE INC.,560,55,OK,
ADI,0000006281,"Analog Devices, Inc.",683,53,OK,
ADM,0000007084,Archer-Daniels-Midland Co,672,63,OK,
ADP,0000008670,"AUTOMATIC DATA PROCESSING, INC.",684,55,OK,
ADSK,0000769397,"AUTODESK, INC.",630,55,OK,
AEE,0001002910,AMEREN CORP,570,49,OK,
AEP,0000004904,"American Electric Power Company, Inc.",634,52,OK,
AES,0000874761,THE AES CORPORATION,772,63,OK,
AFL,0000004977,Aflac Incorporated,602,61,OK,
AIG,0000005272,"American International Group, Inc.",951,56,OK,
AIZ,0001267238,"Assurant, Inc.",801,58,OK,
AJG,0000354190,ARTHUR J. GALLAGHER & CO.,524,51,OK,
AKAM,0001086222,"Akamai Technologies, Inc",547,61,OK,
ALB,0000915913,ALBEMARLE CORPORATION,684,48,OK,
ALGN,0001097149,"ALIGN TECHNOLOGY, INC.",515,18,OK,
ALL,0000899051,ALLSTATE CORP,703,70,OK,
ALLE,0001579241,Allegion plc,485,14,OK,
AMAT,0000006951,APPLIED MATERIALS INC /DE,710,55,OK,
AMCR,0001748790,AMCOR PLC,549,25,OK,
AMD,0000002488,ADVANCED MICRO DEVICES INC,782,47,OK,
AME,0001037868,"AMETEK, Inc.",529,53,OK,
AMGN,0000318154,Amgen Inc.,476,55,OK,
AMP,0000820027,"AMERIPRISE FINANCIAL, INC.",774,43,OK,
AMT,0001053507,AMERICAN TOWER CORPORATION,703,55,OK,
AMZN,0001018724,AMAZON COM INC,546,55,OK,
ANET,0001596532,"Arista Networks, Inc.",450,35,OK,
ANSS,0001013462,"ANSYS, Inc.",476,17,OK,
AON,0000315293,Aon plc,622,52,OK,
AOS,0000091142,A. O. Smith Corporation,511,45,OK,
APA,0001841666,APA CORPORATION,361,7,OK,
APD,0000002969,"AIR PRODUCTS AND CHEMICALS, INC.",825,56,OK,
APH,0000820313,AMPHENOL CORPORATION,451,43,OK,
APO,0001858681,"APOLLO GLOBAL MANAGEMENT, INC.",354,9,OK,
APTV,0001521332,APTIV PLC,602,46,OK,
ARE,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",509,17,OK,
ARM,0001973239,ARM HOLDINGS PLC /UK,289,5,OK,
ASML,0000937966,ASML HOLDING NV,625,0,WARN,us-gaap concepts sufficient but no annual periods discovered
ATO,0000731802,Atmos Energy Corp,556,51,OK,
AVB,0000915912,"AVALONBAY COMMUNITIES, INC.",426,52,OK,
AVGO,0001730168,Broadcom Inc.,433,22,OK,
AVY,0000008818,AVERY DENNISON CORPORATION,641,51,OK,
