concept,type,abstract
AccountingForCertainLoansAndDebtSecuritiesAcquiredInTransferDisclosureTextBlock,textBlockItemType,false
AccountsNotesAndLoansReceivableNetCurrent,monetaryItemType,false
AccountsNotesAndLoansReceivableNetCurrentAbstract,stringItemType,true
AccountsPayableInterestBearingInterestRate,percentItemType,false
GainLossOnSaleOfDebtInvestments,monetaryItemType,false
AdvancesFromFederalHomeLoanBanks,monetaryItemType,false
AllCertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesNotAccountedForUsingIncomeRecognitionModelAtCarryingValue,monetaryItemType,false
AllCertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesNotAccountedForUsingIncomeRecognitionModelEndOfPeriodAtCarryingValue,monetaryItemType,false
AllCertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesNotAccountedForUsingIncomeRecognitionModel,monetaryItemType,false
AllowanceForLoanAndLeaseLossesMember,domainItemType,true
AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,monetaryItemType,false
AllowanceForLoanAndLeaseLossesLoansAcquired,monetaryItemType,false
AllowanceForLoanAndLeaseLossesLoansSold,monetaryItemType,false
AllowanceForLoanAndLeaseLossesRollForward,stringItemType,true
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,monetaryItemType,false
AllowanceForLoanAndLeaseLossesAdjustmentsNet,monetaryItemType,false
AllowanceForLoanAndLeaseLossesWriteOffs,monetaryItemType,false
AllowanceForNotesAndLoansReceivableCurrent,monetaryItemType,false
AllowanceForUncollectibleAgencyLoansMember,domainItemType,true
AmortizationOfDeferredLoanOriginationFeesNet,monetaryItemType,false
DeferredGainLossOnDiscontinuationOfInterestRateFairValueHedge,monetaryItemType,false
InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet,monetaryItemType,false
InterestRateCashFlowHedgeGainLossToBeReclassifiedDuringNext12MonthsNet,monetaryItemType,false
ConvertibleDebtSecuritiesMember,domainItemType,true
AssetsDesignatedToClosedBlockMortgageLoansOnRealEstate,monetaryItemType,false
AssetsDesignatedToClosedBlockPolicyLoans,monetaryItemType,false
AssetsSoldUnderAgreementsToRepurchaseInterestRate,percentItemType,false
AuctionMarketPreferredSecuritiesStockSeriesVariableInterestRateEarned,percentItemType,false
AutomobileLoanMember,domainItemType,true
InterestExpenseBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,monetaryItemType,false
AmortizationOfDebtDiscountPremium,monetaryItemType,false
InterestExpenseBorrowingsAbstract,stringItemType,true
BorrowingsUnderGuaranteedInvestmentAgreements,monetaryItemType,false
RealEstateVariableInterestEntityBorrowings,monetaryItemType,false
BridgeLoan,monetaryItemType,false
BridgeLoanMember,domainItemType,true
CapitalLeasesIncomeStatementInterestExpense,monetaryItemType,false
InterestExpenseCapitalSecurities,monetaryItemType,false
MortgageLoansOnRealEstateIntercompanyProfitsInCarryingAmountOfLoans,monetaryItemType,false
CarryingValueOfFederalFundsPurchasedSecuritiesSoldUnderAgreementsToRepurchaseAndDepositsReceivedForSecuritiesLoaned,monetaryItemType,false
CarryingValueOfSecuritiesSoldUnderRepurchaseAgreementsAndDepositsReceivedForSecuritiesLoanedAbstract,stringItemType,true
CarryingValueOfSecuritiesSoldUnderRepurchaseAgreementsAndDepositsReceivedForSecuritiesLoaned,monetaryItemType,false
InterestPaid,monetaryItemType,false
ProceedsFromLoans,monetaryItemType,false
InterestPaidNet,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAcquiredDuringPeriodAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAcquiredDuringPeriodAtAcquisitionAtFairValue,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAcquiredDuringPeriodCashFlowsExpectedToBeCollectedAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAcquiredDuringPeriodContractuallyRequiredPaymentsReceivableAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAcquiredDuringPeriodNotAccountedForUsingIncomeRecognitionModelAtAcquisitionAtCarryingValue,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesNotAccountedForUsingIncomeRecognitionModelAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYield,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAdditions,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldMovementScheduleRollForward,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToNonaccretableDifference,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAcquiredDuringPeriodAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAcquiredDuringPeriodAtAcquisitionAtFairValue,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAcquiredDuringPeriodCashFlowsExpectedToBeCollectedAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAcquiredDuringPeriodContractuallyRequiredPaymentsReceivableAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAcquiredDuringPeriodNotAccountedForUsingIncomeRecognitionModelAtAcquisitionAtCarryingValue,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesCarryingAmountNet,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsAvailableForSaleDebtSecuritiesOutstandingBalance,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesCarryingAmountNet,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesCarryingAmountNet,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesOutstandingBalance,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesNotAccountedForUsingIncomeRecognitionModelAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesOtherThanTemporaryImpairmentAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesOutstandingBalance,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAcquiredDuringPeriodAbstract,stringItemType,true
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAcquiredDuringPeriodAtAcquisitionAtFairValue,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAcquiredDuringPeriodCashFlowsExpectedToBeCollectedAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAcquiredDuringPeriodContractuallyRequiredPaymentsReceivableAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferAccountedForAsHeldToMaturityDebtSecuritiesAcquiredDuringPeriodNotAccountedForUsingIncomeRecognitionModelAtAcquisitionAtCarryingValue,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAbstract,stringItemType,true
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYield,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldMovementScheduleRollForward,stringItemType,true
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToNonaccretableDifference,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldTransfersToLoansHeldForSale,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAcquiredDuringPeriodAbstract,stringItemType,true
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAcquiredDuringPeriodAtAcquisitionAtFairValue,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAcquiredDuringPeriodCashFlowsExpectedToBeCollectedAtAcquisition,monetaryItemType,false
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAcquiredDuringPeriodCommercialContractuallyRequiredPaymentsReceivableAtAcquisition,monetaryItemType,false
